SP1_Transport	Problem type: adjoint
cell    node    group   phi     
193     0       1       0.238481
193     1       1       0.280113
194     0       1       0.280113
194     1       1       0.329012
195     0       1       0.329012
195     1       1       0.386447
196     0       1       0.386447
196     1       1       0.453908
197     0       1       0.453908
197     1       1       0.533146
198     0       1       0.533146
198     1       1       0.626217
199     0       1       0.626217
199     1       1       0.735535
200     0       1       0.735535
200     1       1       0.750373
201     0       1       0.750373
201     1       1       0.764379
202     0       1       0.764379
202     1       1       0.777599
203     0       1       0.777599
203     1       1       0.790077
204     0       1       0.790077
204     1       1       0.801855
205     0       1       0.801855
205     1       1       0.812972
206     0       1       0.812972
206     1       1       0.823465
207     0       1       0.823465
207     1       1       0.833369
208     0       1       0.833369
208     1       1       0.842718
209     0       1       0.842718
209     1       1       0.851542
210     0       1       0.851542
210     1       1       0.859871
211     0       1       0.859871
211     1       1       0.867733
212     0       1       0.867733
212     1       1       0.875154
213     0       1       0.875154
213     1       1       0.882158
214     0       1       0.882158
214     1       1       0.888769
215     0       1       0.888769
215     1       1       0.895009
216     0       1       0.895009
216     1       1       0.900899
217     0       1       0.900899
217     1       1       0.906458
218     0       1       0.906458
218     1       1       0.911706
219     0       1       0.911706
219     1       1       0.916659
220     0       1       0.916659
220     1       1       0.921334
221     0       1       0.921334
221     1       1       0.925747
222     0       1       0.925747
222     1       1       0.929912
223     0       1       0.929912
223     1       1       0.933843
224     0       1       0.933843
224     1       1       0.937554
225     0       1       0.937554
225     1       1       0.941056
226     0       1       0.941056
226     1       1       0.944362
227     0       1       0.944362
227     1       1       0.947482
228     0       1       0.947482
228     1       1       0.950427
229     0       1       0.950427
229     1       1       0.953207
230     0       1       0.953207
230     1       1       0.955831
231     0       1       0.955831
231     1       1       0.958307
232     0       1       0.958307
232     1       1       0.960644
233     0       1       0.960644
233     1       1       0.96285 
234     0       1       0.96285 
234     1       1       0.964933
235     0       1       0.964933
235     1       1       0.966898
236     0       1       0.966898
236     1       1       0.968753
237     0       1       0.968753
237     1       1       0.970503
238     0       1       0.970503
238     1       1       0.972155
239     0       1       0.972155
239     1       1       0.973715
240     0       1       0.973715
240     1       1       0.975186
241     0       1       0.975186
241     1       1       0.976575
242     0       1       0.976575
242     1       1       0.977886
243     0       1       0.977886
243     1       1       0.979123
244     0       1       0.979123
